"","stage","sp","modName","parName","Estimate","Std..Error"
"178","egg","Busseola fusca","perf2_11","T2",54.3456093962866,70.9411792992665
"179","egg","Busseola fusca","regniere_12","phi",0.81231854647101,44170.848054744
"180","egg","Busseola fusca","regniere_12","bb",0.0448796051550047,390.616800192823
"181","egg","Busseola fusca","regniere_12","Tb",11.3382457332262,22.3986130131138
"182","egg","Busseola fusca","regniere_12","Tm",63.5342368066304,4239301.89147923
"183","egg","Busseola fusca","regniere_12","deltab",77.1725073484857,2803189.57572132
"184","egg","Busseola fusca","regniere_12","deltam",36.3998220789074,168141.109042934
"185","larva","Busseola fusca","analytis_77","aa",2.3110990961659e-16,2.81394497475736e-13
"186","larva","Busseola fusca","analytis_77","bb",7.76922488537854,252.338776506834
"187","larva","Busseola fusca","analytis_77","cc",0.80110325866485,16.1726342020821
"188","larva","Busseola fusca","analytis_77","Tmin",-26.3329002481999,1229.52010293425
"189","larva","Busseola fusca","analytis_77","Tmax",33.1927028296002,53.6204028953932
"190","larva","Busseola fusca","ratkowsky_83","cc",0.00700050636769958,0.00611762552880717
"191","larva","Busseola fusca","ratkowsky_83","T1",1.78964021301635,13.4572831730532
"192","larva","Busseola fusca","ratkowsky_83","T2",34.5508515662555,9.38474832923208
"193","larva","Busseola fusca","ratkowsky_83","k",0.32739391321978,0.941522272158172
"194","larva","Busseola fusca","hilbertLogan_83",NA,NA,NA
"195","larva","Busseola fusca","beta_95","mu",-709.553062803977,340235.547777682
"196","larva","Busseola fusca","beta_95","Tb",-514.109045348593,217430.750759749
"197","larva","Busseola fusca","beta_95","Tc",34.8552708566757,107.504026502726
"198","larva","Busseola fusca","beta_95","aa",111.668696120777,46911.2661169577
"199","larva","Busseola fusca","beta_95","bb",1.50698289354374,51.2722506658521
"200","larva","Busseola fusca","beta_16","rm",0.0262411637718552,0.00393127375181353
"201","larva","Busseola fusca","beta_16","T1",-76.7984892392471,1350.0034380672
"202","larva","Busseola fusca","beta_16","T2",33.602875654278,5.7860826129132
"203","larva","Busseola fusca","beta_16","Tm",27.6160115905932,1.49628967119743
