minimum;Q1;median;Q3;maximum;mean;month;scenario;species
0.0105120447315339;0.0680186841872104;0.0905459429651169;0.10736738564373;0.152485603925009;0.0935314305681038;9;ssp126;Sesamia nonagrioides
0.00825688955301285;0.0534342836408774;0.0809465081043388;0.0985446014216095;0.172491628034743;0.0830714142840574;10;ssp126;Sesamia nonagrioides
0.0181481025483219;0.0374331745234686;0.0497153368757522;0.0652689622676613;0.114369027403845;0.056864002461667;11;ssp126;Sesamia nonagrioides
0;0;0.019900316996628;0.0307435750432506;0.0787138675633049;0.0223038630244457;12;ssp126;Sesamia nonagrioides
0.00915357541658245;0.0555515030555494;0.0843798364606639;0.107349681896075;0.215087210746425;0.0904011782077549;1;ssp585;Sesamia nonagrioides
0.0550506622596509;0.105709816224466;0.132070148449326;0.15830720010626;0.248499395502505;0.133740883900557;2;ssp585;Sesamia nonagrioides
0.0720173276491015;0.15964429859971;0.185472954343021;0.2123558966697;0.316196435115151;0.186008979937772;3;ssp585;Sesamia nonagrioides
0.132497189836193;0.20111453146543;0.245752178888283;0.269263687519971;0.357332917311921;0.236804170199032;4;ssp585;Sesamia nonagrioides
0.160178865081924;0.252999040062672;0.2941043186097;0.337561991611825;0.398965301924403;0.288093500525826;5;ssp585;Sesamia nonagrioides
-0.162896583389722;0.209819682607505;0.244520567007002;0.268601381429271;0.345030536310203;0.229790100091002;6;ssp585;Sesamia nonagrioides
-0.989753528870177;-0.0109873335495106;0.0847898468865868;0.153546271889254;0.256453585324542;0.0354985942759904;7;ssp585;Sesamia nonagrioides
-1.00702232836342;-0.0188816366871054;0.107214002692971;0.166767198750055;0.260166850690858;0.0365249230850876;8;ssp585;Sesamia nonagrioides
0.117054969719076;0.230634112560871;0.254248882638276;0.297653796738503;0.373182947480135;0.263592172138554;9;ssp585;Sesamia nonagrioides
0.17774933496233;0.247927007311346;0.305209135848423;0.36171725447723;0.438589079104697;0.302117577369521;10;ssp585;Sesamia nonagrioides
0.11255918613242;0.174654494363421;0.228329605897722;0.274114398544226;0.367680267123566;0.22722095305767;11;ssp585;Sesamia nonagrioides
0.052213294200563;0.0993510083842779;0.137532203334901;0.166581990301918;0.270276910559058;0.138359242510135;12;ssp585;Sesamia nonagrioides
